study_id,checklist,checklist_item_id,section,topic,reporting_item_number,reporting_item,standardised_section,standardised_subsection,standardised_subsection_note,standardised_reporting_item_elements,standardised_reporting_item_elements_note,X,X.1
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item20,Article screening and study inclusion criteria,Inclusion criteria,NA,Describe the inclusion criteria used to assess relevance of identified articles/studies. These must be broken down into question key elements and other restrictions.,Methodology,Eligibility Criteria,,Report the relevant comparator(s) in eligiblity criteria of the review,,NA,NA
wang_2019,wang_2019,wang_2019_item22,results,study characteristics,18*,"For each study, present characteristics that were extracted (e.g., study size, PICOS, follow-up period) and provide the citations of the included studies. Summarize details of the acupuncture intervention for each study in a table referring to TIDieR.",Results,Data Characteristics,,Report the summary effect size point estimates,,NA,NA
wang_2019,wang_2019,wang_2019_item22,results,study characteristics,18*,"For each study, present characteristics that were extracted (e.g., study size, PICOS, follow-up period) and provide the citations of the included studies. Summarize details of the acupuncture intervention for each study in a table referring to TIDieR.",Results,Data Characteristics,,Report the error around the effect size point estimates,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item22,Critical appraisal,Critical appraisal strategy,NA,Describe the method you propose for critical appraisal of study validity (including assessment of individual studies and the evidence base as a whole).,Methodology,Study Risk of Bias Assessment,,Report the methods used for assessing risk of bias/methodological quality in synthesised studies,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item23,Critical appraisal,Critical appraisal used in synthesis,NA,Describe how the information from critical appraisal will be used in synthesis.,Methodology,Study Risk of Bias Assessment,,Report how the assessment of risk of bias/methological quality was used in the synthesis,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item24,Critical appraisal,Consistency checking,NA,Describe how repeatability of critical appraisal of study validity will be tested.,Methodology,Study Risk of Bias Assessment,,Report how the repeatabiliity of the outcomes of the risk of bias/methodological quality assessment was calculated,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item25,Data extraction,Meta-data extraction and coding strategy,NA,"Describe the method for meta-data extraction and coding for studies (potentially providing forms/data sheets (ideally piloted), list of variables to be extracted).",Methodology,Data Collection Process and Data Items,,Report the strategy used to extract data from synthesised studies in the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item26,Data extraction,Data extraction strategy,NA,Describe the method for extraction of qualitative and/or quantitative study findings (potentially providing forms/data sheets (ideally piloted)).,Methodology,Data Collection Process and Data Items,,Report the agreement rate between separate data extractors,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item26,Data extraction,Data extraction strategy,NA,Describe the method for extraction of qualitative and/or quantitative study findings (potentially providing forms/data sheets (ideally piloted)).,Methodology,Data Collection Process and Data Items,,Report all of the outcomes which data was extracted,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item27,Data extraction,Approaches to missing data,NA,Describe any processes for obtaining and confirming missing or unclear information or data from authors.,Methodology,Data Collection Process and Data Items,,Report the strategy used for missing data,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item28,Data extraction,Consistency checking,NA,Describe how repeatability of the meta-data/data extraction process will be tested.,Methodology,Data Collection Process and Data Items,,Report the agreement rate between separate data extractors,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item31,Data synthesis and presentation,Narrative synthesis strategy,NA,"Describe methods to be used for narratively synthesising the evidence base in the form of descriptive statistics, tables and figures.",Methodology,Synthesis Methods,,Report the strategy to narratively synthesis the literature,,NA,NA
page_2021,page_2021_extended,page_2021_extended_item105,Methods,Synthesis methods,13f.element2,Identify any sensitivity analyses that were not pre-specified.,Methodology,Synthesis Methods,Sensitivity analyses,Report whether the syntehsis methodology was specified in a preregistration,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item33,Data synthesis and presentation,Qualitative synthesis strategy,NA,Describe methods to be used for synthesising qualitative data and justify your methodological choice.,Methodology,Synthesis Methods,,Report the strategy to narratively synthesis the literature,,NA,NA
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item26,Data synthesis and presentation,Narrative synthesis strategy,NA,"Describe methods used for narratively synthesising the evidence base in the form of descriptive statistics, tables (including SM database) and figures.",Methodology,Synthesis Methods,,Report the strategy to narratively synthesis the literature,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item29,Data synthesis and presentation,Narrative synthesis strategy,NA,"Describe methods used for narratively synthesising the evidence base in the form of descriptive statistics, tables (including SM database) and figures. Study findings must only be narratively synthesised and vote-counting must be avoided.",Methodology,Synthesis Methods,,Report the strategy to narratively synthesis the literature,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item31,Data synthesis and presentation,Qualitative synthesis strategy,NA,Describe methods used for synthesising qualitative data and justify your methodological choices. Describe if and how you plan to analyse subgroups/subsets of data. If all studies were not selected for synthesis explain criteria for selection (e.g. incomplete or missing information).,Methodology,Synthesis Methods,,Report the strategy to narratively synthesis the literature,,NA,NA
hutton_2015,hutton_2015,hutton_2015_item12,METHODS,geometry of the network,S1,"Describe methods used to explore the geometry of the treatment network under study and potential biases related to it. This should include how the evidence base has been graphically summarized for presentation, and what characteristics were compiled and used to describe the evidence base to readers.",Methodology,Synthesis Methods,,NA,,NA,NA
sanchezmeca_2021,sanchezmeca_2021,sanchezmeca_2021_item17,METHOD,Additional analyses,17,"Describe other additional analyses accomplished, such as sensitivity analyses (e.g., statistical analyses with transformed and untransformed reliability coefficients, one-to-one deleting of reliability coefficients, assessment of publication bias, reporting biases, and other sources of bias).",Methodology,Synthesis Methods,,Report the method used in sensitivity analysis to test the robustness of results,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item35,Data synthesis and presentation,Assessment of risk of publication bias,NA,Describe planned methods for examining the possible influence of publication bias on the synthesis.,Methodology,Synthesis Methods,,Report the method used to assess for potential publication bias,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item37,Data synthesis and presentation,Demonstrating procedural independence,NA,Describe the role of systematic reviewers in decisions regarding inclusion or appraisal of their own work.,Methodology,Selection Process,,Report the method used for screening of articles the a member of the author team wrote,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item4,Abstract,Structured summary,NA,"Abstract must not exceed 350 words and must include two sections 1) Background, the context and purpose of the review, including the review question; 2) Methods, how the review will be conducted and the outputs that are expected (specifically mention search strategy, inclusion criteria, critical appraisal, data extraction and synthesis).",Abstract,Abstract,,NA,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item5,Background,Background,NA,Describe the rationale for the review in the context of what is already known. Protocol must indicate why this study was necessary and what it aims to contribute to the field.,Introduction,Rationale,,Report the rationale(s) of the review,,NA,NA
ardern_2021,ardern_2021,ardern_2021_item38,Other information,Registration and protocol,24b,"Indicate where the review protocol can be accessed, or state that a protocol was not prepared.",Other,Protocol,,Report the registries name for the preregistration/protocol,,NA,NA
ardern_2021,ardern_2021,ardern_2021_item38,Other information,Registration and protocol,24b,"Indicate where the review protocol can be accessed, or state that a protocol was not prepared.",Other,Protocol,,Report the registration number/doi of the preregistration/protocol,,NA,NA
ardern_2021,ardern_2021,ardern_2021_item38,Other information,Registration and protocol,24b,"Indicate where the review protocol can be accessed, or state that a protocol was not prepared.",Other,Protocol,,Report if a preregistration/protocol is publicly available,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item7,Objective of the review,Objective,NA,Describe the primary question and secondary questions (when applicable).,Introduction,Objectives,,Report the question(s) the authors aim to address in the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item8,Objective of the review,Definitions of the question components,NA,"Break down and summarise question key elements e.g. population, intervention(s)/exposure(s), comparator(s), and outcome(s).",Introduction,Objectives,,"Report an objective/question formulation framework (e.g.,PICO)",,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item9,Searches,Search strategy,NA,"Detail the planned search strategy to be used, including: database names accessed, institutional subscriptions, search options, grey literature, and other sources.",Methodology,Information Sources and Search Strategy,,Report the scientific literature databases used to conduct the literature search,,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item9,Searches,Search strategy,NA,"Detail the planned search strategy to be used, including: database names accessed, institutional subscriptions, search options, grey literature, and other sources.",Methodology,Information Sources and Search Strategy,,Report the institutional subscription used to access the scientific literature database(s),,NA,NA
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item9,Searches,Search strategy,NA,"Detail the planned search strategy to be used, including: database names accessed, institutional subscriptions, search options, grey literature, and other sources.",Methodology,Information Sources and Search Strategy,,Report the strategy to retrieve grey literature,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item1,Title,Title,NA,"The title must indicate that it is a systematic review, and should indicate if it is an update/amendment: e.g. ""<85>A systematic review update.""",Title,Title,,Report the methodology of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item1,Title,Title,NA,"The title must indicate that it is a systematic review, and should indicate if it is an update/amendment: e.g. ""<85>A systematic review update.""",Title,Title,,Report the version number of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item10,Methods,Deviations from protocol,NA,Describe any ways in which the final methods of the review deviate from those set out in the protocol along with a justification.,Methodology,Deviations from Protocol,,NA,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item11,Searches,Search strategy,NA,"Detail the search strategy used, including: database names accessed, dates of searching, institutional subscriptions (or date ranges subscribed for each database), search options (e.g. <91>topic words<92> or <91>full text<92> search facility), efforts to source grey literature, other sources of evidence (e.g. hand searching, calls for evidence/submission of evidence by stakeholders). ",Methodology,Information Sources and Search Strategy,,Report the scientific literature databases used to conduct the literature search,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item11,Searches,Search strategy,NA,"Detail the search strategy used, including: database names accessed, dates of searching, institutional subscriptions (or date ranges subscribed for each database), search options (e.g. <91>topic words<92> or <91>full text<92> search facility), efforts to source grey literature, other sources of evidence (e.g. hand searching, calls for evidence/submission of evidence by stakeholders). ",Methodology,Information Sources and Search Strategy,,Report the institutional subscription used to access the scientific literature database(s),,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item11,Searches,Search strategy,NA,"Detail the search strategy used, including: database names accessed, dates of searching, institutional subscriptions (or date ranges subscribed for each database), search options (e.g. <91>topic words<92> or <91>full text<92> search facility), efforts to source grey literature, other sources of evidence (e.g. hand searching, calls for evidence/submission of evidence by stakeholders). ",Methodology,Information Sources and Search Strategy,,Report the strategy to retrieve grey literature,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item12,Searches,Search string,NA,Provide Boolean-style full search string and state the platform for which the string is formatted (e.g. Web of Science format),Methodology,Information Sources and Search Strategy,,Report the boolean operators used within the scientific literature databases to conduct the literature search,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item13,Searches,Languages - bibliographic databases,NA,List languages used in bibliographic database searches,Methodology,Information Sources and Search Strategy,,Report the language(s) used in the scientific literature database(s),,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item14,Searches,Languages <96> grey literature,NA,List languages used in organisational website searches and web-based search engines,Methodology,Information Sources and Search Strategy,,Report the language(s) used in the registries literature database(s),,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item15,Searches,Bibliographic databases,NA,Provide the number of bibliographic databases searched,Methodology,Information Sources and Search Strategy,,Report the total number of scientific literature databases used to conduct the literature search,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item16,Searches,Web-based search engines,NA,Provide the number of web-based search engines searched,Methodology,Information Sources and Search Strategy,,Report the total number of registries used to conduct the literature search,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item17,Searches,Organisational websites,NA,Provide the number of organisational websites searched,Methodology,Information Sources and Search Strategy,,Report the total number of organisational websites used to conduct the literature search,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item18,Searches,Estimating comprehensiveness of the search,NA,Describe the process by which the comprehensiveness of the search strategy was assessed (i.e. list of benchmark articles),Methodology,Information Sources and Search Strategy,,Report the strategy used to estimate the comprehenisiveness of the literature search,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item19,Searches,Search update,NA,Describe any update to searches undertaken during the conduct of the review,Methodology,Information Sources and Search Strategy,,Report any update to the search strategy undertaken during the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item2,Type of review,Type of review,NA,"Select one of the following types of review: systematic review, systematic review update, systematic review amendment, systematic review from a systematic map",Title,Title,,Report the methodology of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item2,Type of review,Type of review,NA,"Select one of the following types of review: systematic review, systematic review update, systematic review amendment, systematic review from a systematic map",Title,Title,,Report the version number of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item20,Article screening and study inclusion criteria,Screening strategy,NA,"Describe the methodology for screening articles/studies for relevance. Methods for consistency of screening decisions (at title, abstract, and full texts levels) checking must be described.",Methodology,Selection Process,,Report the methods used to decide whether a study met the inclusion criteria of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item20,Article screening and study inclusion criteria,Screening strategy,NA,"Describe the methodology for screening articles/studies for relevance. Methods for consistency of screening decisions (at title, abstract, and full texts levels) checking must be described.",Methodology,Selection Process,,Report the method used to estimate consistency of screening outcomes between people who conducted screening,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item21,Article screening and study inclusion criteria,Inclusion criteria,NA,"Describe the inclusion criteria used to assess relevance of identified articles/studies. These must be broken down into the question key elements (e.g. relevant subject(s), intervention(s)/exposure(s), comparator(s), outcome(s), study design(s)) and any other restrictions (e.g. date ranges or languages).",Methodology,Eligibility Criteria,,Report the relevant population(s) in eligiblity criteria of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item21,Article screening and study inclusion criteria,Inclusion criteria,NA,"Describe the inclusion criteria used to assess relevance of identified articles/studies. These must be broken down into the question key elements (e.g. relevant subject(s), intervention(s)/exposure(s), comparator(s), outcome(s), study design(s)) and any other restrictions (e.g. date ranges or languages).",Methodology,Eligibility Criteria,,Report the relevant study design(s) in eligiblity criteria of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item21,Article screening and study inclusion criteria,Inclusion criteria,NA,"Describe the inclusion criteria used to assess relevance of identified articles/studies. These must be broken down into the question key elements (e.g. relevant subject(s), intervention(s)/exposure(s), comparator(s), outcome(s), study design(s)) and any other restrictions (e.g. date ranges or languages).",Methodology,Eligibility Criteria,,Report the relevant timeframe in eligiblity criteria of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item21,Article screening and study inclusion criteria,Inclusion criteria,NA,"Describe the inclusion criteria used to assess relevance of identified articles/studies. These must be broken down into the question key elements (e.g. relevant subject(s), intervention(s)/exposure(s), comparator(s), outcome(s), study design(s)) and any other restrictions (e.g. date ranges or languages).",Methodology,Eligibility Criteria,,Report the relevant intervention(s) in eligiblity criteria of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item21,Article screening and study inclusion criteria,Inclusion criteria,NA,"Describe the inclusion criteria used to assess relevance of identified articles/studies. These must be broken down into the question key elements (e.g. relevant subject(s), intervention(s)/exposure(s), comparator(s), outcome(s), study design(s)) and any other restrictions (e.g. date ranges or languages).",Methodology,Eligibility Criteria,,Report the relevant comparator(s) in eligiblity criteria of the review,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item22,Critical appraisal,Critical appraisal strategy,NA,Describe here the method used for critical appraisal of study validity (including assessment of individual studies and the evidence base as a whole). Describe how repeatability of critical appraisal of study validity was tested.,Methodology,Study Risk of Bias Assessment,,Report the methods used for assessing risk of bias/methodological quality in synthesised studies,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item22,Critical appraisal,Critical appraisal strategy,NA,Describe here the method used for critical appraisal of study validity (including assessment of individual studies and the evidence base as a whole). Describe how repeatability of critical appraisal of study validity was tested.,Methodology,Study Risk of Bias Assessment,,Report how the repeatabiliity of the outcomes of the risk of bias/methodological quality assessment was calculated,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item23,Critical appraisal,Critical appraisal used in synthesis,NA,Describe how the information from critical appraisal was used in synthesis. ,Methodology,Study Risk of Bias Assessment,,Report how the assessment of risk of bias/methological quality was used in the synthesis,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item24,Data extraction,Meta-data extraction and coding strategy,NA,"Describe the method for meta-data extraction and coding for studies, providing lists of variables that will be extracted as meta-data and those that will be coded. Describe how repeatability of meta-data/data extraction and coding was tested.",Methodology,Data Collection Process and Data Items,,Report all of the data extraction variables,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item24,Data extraction,Meta-data extraction and coding strategy,NA,"Describe the method for meta-data extraction and coding for studies, providing lists of variables that will be extracted as meta-data and those that will be coded. Describe how repeatability of meta-data/data extraction and coding was tested.",Methodology,Data Collection Process and Data Items,,Report the description for all of the data extraction variables,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item24,Data extraction,Meta-data extraction and coding strategy,NA,"Describe the method for meta-data extraction and coding for studies, providing lists of variables that will be extracted as meta-data and those that will be coded. Describe how repeatability of meta-data/data extraction and coding was tested.",Methodology,Data Collection Process and Data Items,,Report the agreement rate between separate data extractors,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item25,Data extraction,Data extraction strategy,NA,Describe the method for extraction of qualitative and/or quantitative study findings. Describe how repeatability of data extraction was tested.,Methodology,Data Collection Process and Data Items,,Report the agreement rate between separate data extractors,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item25,Data extraction,Data extraction strategy,NA,Describe the method for extraction of qualitative and/or quantitative study findings. Describe how repeatability of data extraction was tested.,Methodology,Data Collection Process and Data Items,,Report all of the outcomes which data was extracted,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item26,Data extraction,Approaches to missing data,NA,Describe any process for obtaining and confirming missing or unclear information or data from authors.,Methodology,Data Collection Process and Data Items,,Report the strategy used for missing data,,NA,NA
gordon_2014,gordon_2014,gordon_2014_item12,,Methods,12,"Describe qualitative methods for synthesising primary evidence (where appropriate) and the goal of these methods, such as thematic analysis; meta-ethnography, and realist synthesis",Methodology,Synthesis Methods,,Report the strategy to narratively synthesis the literature,,NA,NA
gordon_2014,gordon_2014,gordon_2014_item13,,Methods,13,"Describe quantitative methods for synthesising primary evidence (where appropriate), such as meta-analysis and how issues of heterogeneity will be considered",Methodology,Synthesis Methods,,Report the methods used to explore sources of heterogeneity,,NA,NA
gordon_2014,gordon_2014,gordon_2014_item13,,Methods,13,"Describe quantitative methods for synthesising primary evidence (where appropriate), such as meta-analysis and how issues of heterogeneity will be considered",Methodology,Synthesis Methods,,Report the synthesis strategy,,NA,NA
mcgrath_2017,mcgrath_2017,mcgrath_2017_item38,Methods: risk of bias and heterogeneity,Methods: risk of bias and heterogeneity,29,Describe test used to assess for publication bias,Methodology,Synthesis Methods,,Report the method used to assess for potential publication bias,,NA,NA
page_2021,page_2021_extended,page_2021_extended_item106,Methods,Reporting bias assessment,14,Describe any methods used to assess risk of bias due to missing results in a synthesis (arising from reporting biases).,Methodology,Synthesis Methods,Publication bias assessment,Report the method used to assess for potential publication bias,,NA,NA
wong_2013,wong_2013,wong_2013_item11,Analysis and synthesis processes,NA,11,Describe the analysis and synthesis processes in detail. This section should include information on the constructs analyzed and describe the analytic process.,Methodology,Synthesis Methods,,Report the synthesis strategy,,NA,NA
wong_2013a,wong_2013a,wong_2013a_item12,,METHODS,12,"Describe the analysis and synthesis processes in detail. This section should include information on the process by which the account of each meta-narrative (that is, the story of each unfolding research tradition) was built up and how the separate meta-narratives were compared and contrasted. Document and justify any changes in this process as the study unfolded. #",Methodology,Synthesis Methods,,Report the synthesis strategy,,NA,NA
odea_2020,odea_2020,odea_2020_item44,Software,,13.3,Describe the functions used to run models,Methodology,Synthesis Methods,,Report the function(s) in the statistical analysis software used to conduct the synthesis,,NA,NA
campbell_2020,campbell_2020,campbell_2020_item8,Methods,Data presentation methods,7,"Describe the graphical and tabular methods used to present the effects (eg, tables, forest plots, harvest plots) Specify key study characteristics (eg, study design, risk of bias) used to order the studies, in the text and any tables or graphs, clearly referencing the studies included",Methodology,Synthesis Methods,,Report the method used to display the results of the synthesis,,NA,NA
stewart_2015,stewart_2015,stewart_2015_item21,Methods,Synthesis methods,14,Describe the meta-analysis methods used to synthesise IPD. Specify any statistical methods and models used. Issues should include (but are not restricted to):,Methodology,Synthesis Methods,,Report the structure of each of the models used,xx,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item35,Data synthesis and presentation,Demonstrating procedural independence,NA,Describe the role of systematic reviewers (who have also authored articles to be considered within the review) in decisions regarding inclusion or critical appraisal of their own work.,Methodology,Selection Process,,Report the method used for screening of articles the a member of the author team wrote,,NA,NA
stewart_2015,stewart_2015,stewart_2015_item34,Results,Study characteristics,18,"For each study, present information on key study and participant characteristics (such as description of interventions, numbers of participants, demographic data, unavailability of outcomes, funding source, and if applicable duration of follow-up). Provide (main) citations for each study. Where applicable, also report similar study characteristics for any studies not providing IPD.",Results,Data Characteristics,,Report each of the studies included in the synthesis,,NA,NA
stewart_2015,stewart_2015,stewart_2015_item34,Results,Study characteristics,18,"For each study, present information on key study and participant characteristics (such as description of interventions, numbers of participants, demographic data, unavailability of outcomes, funding source, and if applicable duration of follow-up). Provide (main) citations for each study. Where applicable, also report similar study characteristics for any studies not providing IPD.",Results,Data Characteristics,,Report the characteristics from each of the included studies,,NA,NA
zorzela_2016,zorzela_2016,zorzela_2016_item26,Results,Study characteristics,18,"For each study, present information on key study and participant characteristics (such as description of interventions, numbers of participants, demographic data, unavailability of outcomes, funding source, and if applicable duration of follow-up). Provide (main) citations for each study. Where applicable, also report similar study characteristics for any studies not providing IPD.",Results,Data Characteristics,,Report each of the studies included in the synthesis,,NA,NA
zorzela_2016,zorzela_2016,zorzela_2016_item26,Results,Study characteristics,18,"For each study, present information on key study and participant characteristics (such as description of interventions, numbers of participants, demographic data, unavailability of outcomes, funding source, and if applicable duration of follow-up). Provide (main) citations for each study. Where applicable, also report similar study characteristics for any studies not providing IPD.",Results,Data Characteristics,,Report the characteristics from each of the included studies,,NA,NA
zhang_2020,zhang_2020,zhang_2020_item34,results,Results,18,"For each study, state characteristics for which data were extracted (e.g., study size, PICOS, follow-up period) and provide the citations.",Results,Data Characteristics,,Report the summary effect size point estimates,,NA,NA
zhang_2020,zhang_2020,zhang_2020_item34,results,Results,18,"For each study, state characteristics for which data were extracted (e.g., study size, PICOS, follow-up period) and provide the citations.",Results,Data Characteristics,,Report the error around the effect size point estimates,,NA,NA
akl_2024,akl_2024,akl_2024_item45,Results,Results of syntheses,20a,"For each synthesis, briefly summarise the characteristics and risk of bias among contributing studies.",Results,Risk of bias in studies,,Report the characteristics from each of the included studies,,NA,NA
akl_2024,akl_2024,akl_2024_item45,Results,Results of syntheses,20a,"For each synthesis, briefly summarise the characteristics and risk of bias among contributing studies.",Results,Risk of bias in studies,,Report the risk of bias for each synthesised study,,NA,NA
haddaway_2018,haddaway_2018_systematic.review,haddaway_2018_systematic.review_item4,Abstract,Structured summary,NA,"The abstract of the manuscript must not exceed 500 words and must be structured into separate sections: Background, the context and purpose of the review, including the review question; Methods, how the review was performed and statistical tests used (specifically mention search strategy, inclusion criteria, critical appraisal, data extraction and synthesis); Results, the main findings, including results of search and assessment of evidence base; Conclusions, brief summary and potential implications for policy/management and research.",Abstract,Abstract,,NA,,NA,NA
ardern_2021,ardern_2021,ardern_2021_item27,Results,Results of syntheses,20a,"For each synthesis, briefly summarise the characteristics and risk of bias among contributing studies.",Results,Risk of bias in studies,,Report the characteristics from each of the included studies,,NA,NA
ardern_2021,ardern_2021,ardern_2021_item27,Results,Results of syntheses,20a,"For each synthesis, briefly summarise the characteristics and risk of bias among contributing studies.",Results,Risk of bias in studies,,Report the risk of bias for each synthesised study,,NA,NA
page_2021,page_2021_extended,page_2021_extended_item107,Methods,Reporting bias assessment,14.element1,Specify tools/graphical/statistical/other methods used to assess risk of bias due to missing results.,Methodology,Study Risk of Bias Assessment,,NA,,NA,NA
page_2021,page_2021,page_2021_item27,Results,Results of syntheses,20a,"For each synthesis, briefly summarise the characteristics and risk of bias among contributing studies.",Results,Risk of bias in studies,,Report the characteristics from each of the included studies,,NA,NA
page_2021,page_2021,page_2021_item27,Results,Results of syntheses,20a,"For each synthesis, briefly summarise the characteristics and risk of bias among contributing studies.",Results,Risk of bias in studies,,Report the risk of bias for each synthesised study,,NA,NA
zhao_2022,zhao_2022,zhao_2022_item48,Study characteristics,Study characteristics,18b_extension_rec,"For herbal products (including natural herbal products and commercially available herbal products), CONSORT for Herbal Interventions should be referred.44 For traditional Chinese medicine formulae (e.g., fixed CHM formulas, individualized CHM formulas and patent proprietary CHM formulas), CONSORT for CHM Formulas should be referred.53",Results,Data Characteristics,,NA,,NA,NA
page_2021,page_2021_extended,page_2021_extended_item108,Methods,Reporting bias assessment,14.element2,"If using an existing tool, specify methodological components/domains/items and the process to reach an overall judgement; specify adaptations or describe new tool and provide access.",Methodology,Study Risk of Bias Assessment,Publication bias assessment,NA,,NA,NA
page_2021,page_2021_extended,page_2021_extended_item109,Methods,Reporting bias assessment,14.element3,"Report how many reviewers assessed each synthesis, whether independently, and how disagreements were resolved.",Methodology,Study Risk of Bias Assessment,Publication bias assessment,NA,,NA,NA
page_2021,page_2021_extended,page_2021_extended_item110,Methods,Reporting bias assessment,14.element4,Report any processes used to obtain or confirm relevant information from investigators.,Methodology,data extraction,,NA,,NA,NA
page_2021,page_2021_extended,page_2021_extended_item111,Methods,Reporting bias assessment,14.element5,"If an automation tool was used, report how used, how trained, and details on performance and validation.",Methodology,Risk of bias in studies,,NA,,NA,NA
page_2021,page_2021_extended,page_2021_extended_item112,Methods,Certainty assessment,15,Describe any methods used to assess certainty (or confidence) in the body of evidence for an outcome.,Methodology,Certainty assessment,Certainty assessment,NA,,NA,NA
