study_id,checklist,checklist_item_id,section,topic,reporting_item_number,reporting_item,standardised_section,language,check 
gates_2022,gates_2022,gates_2022_item8,Search strategy,,7,"Present the full search strategies for all databases, registers and websites, such that they could be reproduced. Describe any search filters and limits applied.",Methodology,english,km
gates_2022,gates_2022,gates_2022_item9,Selection process,,8a,Describe the methods used to decide whether a systematic review or supplemental primary study (if included) met the inclusion criteria of the overview of reviews.,Methodology,english,km
gordon_2014,gordon_2014,gordon_2014_item1,,Title,1,"Use a title that includes a description of the aims of the piece (educational effectiveness, descriptive, and so on) and the method of evidence synthesis (for example, realist, meta-ethnographic, and so on.)",Title,english,km
gordon_2014,gordon_2014,gordon_2014_item10,,Methods,10,Explain the method for judging inclusion/exclusion ,Methodology,english,km
gordon_2014,gordon_2014,gordon_2014_item11,,Methods,11,"If quality appraisal tools are used, please describe and justify their choice",Methodology,english,km
gordon_2014,gordon_2014,gordon_2014_item12,,Methods,12,"Describe qualitative methods for synthesising primary evidence (where appropriate) and the goal of these methods, such as thematic analysis; meta-ethnography, and realist synthesis",Methodology,english,km
gordon_2014,gordon_2014,gordon_2014_item13,,Methods,13,"Describe quantitative methods for synthesising primary evidence (where appropriate), such as meta-analysis and how issues of heterogeneity will be considered",Methodology,english,km
gordon_2014,gordon_2014,gordon_2014_item14,,Results,14,Give a flow diagram summarising study selection,Results,english,km
gordon_2014,gordon_2014,gordon_2014_item15,,Results,15,"If individuals familiar with the relevant literature and/or topic area were contacted, provide a summary of the contact and information obtained",Results,english,km
gordon_2014,gordon_2014,gordon_2014_item16,,Results,16,"Provide summarised details of included works, considering elements such as methodology, key results and conclusions",Results,english,km
gordon_2014,gordon_2014,gordon_2014_item17,,Results,17,"Describe methods of quality assessment of education reported, including all parameters considered (for example, details of study theoretical underpinning, pedagogical strategies and details of teaching activities to allow replication or dissemination)",Methodology,english,km
gordon_2014,gordon_2014,gordon_2014_item18,,Results,18,Describe quality assessment of the research methods of included studies,Methodology,english,km
gordon_2014,gordon_2014,gordon_2014_item19,,Results,19,Present the results of qualitative and/or quantitative evidence synthesis,Results,english,km
gordon_2014,gordon_2014,gordon_2014_item2,,Abstract,2,Provide a structured summary?,Abstract,english,km
gordon_2014,gordon_2014,gordon_2014_item20,,Discussion,20,Present the main findings in light of the review objectives,Discussion,english,km
gordon_2014,gordon_2014,gordon_2014_item21,,Discussion,21,"Discuss strengths and limitations of the review and its findings, commenting on the strength of the evidence",Discussion,english,km
gordon_2014,gordon_2014,gordon_2014_item22,,Discussion,22,Discuss how the findings of the evidence synthesis impact future primary research,Discussion,english,km
gordon_2014,gordon_2014,gordon_2014_item23,,Discussion,23,Describe possible implications of the findings for educators,Discussion,english,km
gordon_2014,gordon_2014,gordon_2014_item24,,Other,24,Provide details of funding,Other Information,english,km
gordon_2014,gordon_2014,gordon_2014_item25,,Other,25,Describe the skills and expertise of the review team and acknowledge any outside help,Other Information,english,km
gordon_2014,gordon_2014,gordon_2014_item3,,Introduction,3,Describe the rationale for the review in the context of what is already known,Introduction,english,km
gordon_2014,gordon_2014,gordon_2014_item4,,Introduction,4,Provide a statement of the questions being addressed by the study,Introduction,english,km
gordon_2014,gordon_2014,gordon_2014_item5,,Introduction,5,State why this method of evidence synthesis was selected within the context of the questions being asked,Introduction,english,km
gordon_2014,gordon_2014,gordon_2014_item6,,Methods,6,State and provide a rationale for how the searching was done,Methodology,english,km
gordon_2014,gordon_2014,gordon_2014_item7,,Methods,7,Provide details on all the sources of information and dates searched,Methodology,english,km
gordon_2014,gordon_2014,gordon_2014_item8,,Methods,8,"Electronic databases - provide full search terms for at least one database, with details of deviations in subsequent searches",Methodology,english,km
gordon_2014,gordon_2014,gordon_2014_item9,,Methods,9,Describe the process of data extraction and any process of contacting authors for confirmation of/or more data?,Methodology,english,km
guise_2017,guise_2017,guise_2017_item1,title,Title,1_extension,Specifically indicate that the focus of the systematic review includes a complex intervention,Title,english,km
guise_2017,guise_2017,guise_2017_item10,methods,Methods,9,"State the process for selecting studies (i.e., screening, eligibility, included in systematic review, and, if applicable, included in the meta-analysis).",Methodology,english,km
guise_2017,guise_2017,guise_2017_item11,methods,Methods,10,"Describe method of data extraction from reports (e.g., piloted forms, independently, in duplicate and any processes for obtaining and conforming data from investigators).",Methodology,english,km
guise_2017,guise_2017,guise_2017_item12,methods,Methods,11,"List and define all variables for which data were sought (e.g., PICOTS funding sources) and any assumptions and simplifications made.",Methodology,english,km
guise_2017,guise_2017,guise_2017_item13,methods,Methods,11a,"Pathway complexity: include an analytic framework, causal pathway, or other graphical representation of the chain of evidence to illustrate the complexity of the causal pathway",Methodology,english,km
guise_2017,guise_2017,guise_2017_item14,methods,Methods,11b,"Intervention complexity: include sufficient detail for the interventions' components (including number, sequence, active vs. discretionary, a priori vs. final), frequency, duration, intensity, theoretical foundation, incentives, replicability, and people delivering the intervention.",Methodology,english,km
guise_2017,guise_2017,guise_2017_item15,methods,Methods,11c,"Population complexity: include sufficient detail to describe who (or what system level) the intervention targeted and the characteristics of the participants (e.g., age, gender, ethnicity, language, educational or skill level, medical and social risk status, etc.).",Methodology,english,km
guise_2017,guise_2017,guise_2017_item16,methods,Methods,11d,"Implementation complexity: clearly define the adoption, uptake, or integration strategies. Strategies can include facilitators (distinct from intervention elements) such as including attestations, financial incentives, periodic reports of findings, reminders, supplemental trainings, or physical environmental changes.",Methodology,english,km
guise_2017,guise_2017,guise_2017_item17,methods,Methods,11e,"Setting contextual complexity: include detail about the settings, locations where the data were collected, or other contextual factors (including financial, organizational, and clinical setting). Provide rationale if not relevant.",Methodology,english,km
guise_2017,guise_2017,guise_2017_item18,methods,Methods,11f,"Timing: describe the absolute and relative timing of each of the components of PICO. Specifically, describe the time at which eligibility criteria (P) were set, the time at which the interventions or treatment strategies (I, C) were assigned, and the time zero of follow-up when outcome events started to be counted. In addition, describe the timing of the components of interventions I and C during the follow-up. Provide rationale if not relevant.",Methodology,english,km
guise_2017,guise_2017,guise_2017_item19,methods,Methods,12,"Describe methods used for assessing risk of bias of individual studies (including specification of whether this was done at the study or outcome level), and how this information is to be used in any data synthesis",Methodology,english,km
guise_2017,guise_2017,guise_2017_item2,title,Abstract,2,"Provide a structured summary including, as applicable: background; objectives; data sources; study eligibility criteria, participants, and interventions; study appraisal and synthesis methods; results; limitations; conclusions and implications of key findings; systematic review registration number.",Abstract,english,km
guise_2017,guise_2017,guise_2017_item20,methods,Methods,13,"State the principal summary measures (e.g., risk ratio, difference in means).",Methodology,english,km
guise_2017,guise_2017,guise_2017_item21,methods,Methods,14,"Describe the methods of handling data and combining results of studies, if done, including measures of consistency (e.g., I2) for each meta-analysis",Methodology,english,km
guise_2017,guise_2017,guise_2017_item22,methods,Methods,15,"Specify any assessment of risk of bias that may affect the cumulative evidence (e.g., publication bias, selective reporting within studies)",Methodology,english,km
guise_2017,guise_2017,guise_2017_item23,methods,Methods,16,"Describe methods of additional analyses (e.g., sensitivity or subgroup analyses, meta-regression), if done, indicating which were prespecified.",Methodology,english,km
guise_2017,guise_2017,guise_2017_item24,methods,Results,17,"Give numbers of studies screened, assessed for eligibility, and included in the review, with reasons for exclusions at each stage, ideally with a flow diagram.",Results,english,km
guise_2017,guise_2017,guise_2017_item25,results,Results,18,"For each study, present characteristics for which data were extracted (e.g., study size, PICOS, follow-up period) and provide the citations.",Results,english,km
guise_2017,guise_2017,guise_2017_item26,results,Results,19,"Present data on risk of bias of each study and, if available, any outcome level assessment (see item 12).",Results,english,km
guise_2017,guise_2017,guise_2017_item27,results,Results,20,"For all outcomes considered (benefits or harms), present, for each study: (1) simple summary data for each intervention group; (2) effect estimates and confidence intervals, ideally with a forest plot.",Results,english,km
guise_2017,guise_2017,guise_2017_item28,results,Results,21,"Present results of each meta-analysis done, including confidence intervals and measures of consistency.",Results,english,km
guise_2017,guise_2017,guise_2017_item29,results,Results,22,Present results of any assessment of risk of bias across studies (see item 15).,Results,english,km
guise_2017,guise_2017,guise_2017_item3,abstract,Introduction,3,Describe the rationale for the review in the context of what is already known.,Introduction ,english,km
guise_2017,guise_2017,guise_2017_item30,results,Results,23,"Give results of additional analyses, if done (e.g., sensitivity or subgroup analyses, meta-regression [see item 16]).",Results,english,km
guise_2017,guise_2017,guise_2017_item31,results,Discussion,24,"Summarize the main findings including the strength of evidence for each main outcome; consider their relevance to key groups (e.g., health care providers, users, and policy makers)",Discussion ,english,km
guise_2017,guise_2017,guise_2017_item32,discussion,Discussion,25,"Discuss limitations at study and * outcome level (e.g., risk of bias), and at review-level (e.g., incomplete retrieval of identified research, reporting bias).",Discussion ,english,km
guise_2017,guise_2017,guise_2017_item33,discussion,Discussion,26,Provide a general interpretation of the results in the context of other evidence and implications for future research.,Discussion ,english,km
guise_2017,guise_2017,guise_2017_item34,discussion,Funding,27,"Describe sources of funding for the systematic review and other support (e.g., supply of data); role of funders for the systematic review.",Other Information,english,km
guise_2017,guise_2017,guise_2017_item4,introduction,Introduction,4,Provide an explicit statement of questions being addressed with reference to PICOS,Introduction ,english,km
guise_2017,guise_2017,guise_2017_item5,introduction,Introduction,4_extension,Include in this statement the sources of complexity of primary interest (see definition of complex intervention),Introduction ,english,km
guise_2017,guise_2017,guise_2017_item6,introduction,Methods,5,"Indicate if a review protocol exists, if and where it can be accessed (e.g., Web address), and, if available, provide registration information including registration number.",Other Information,english,km
guise_2017,guise_2017,guise_2017_item7,methods,Methods,6,"Specify study characteristics (e.g., PICOS, length of follow-up) and report characteristics (e.g., years considered, language, publication status) used as criteria for eligibility, giving rationale.",Methodology,english,km
guise_2017,guise_2017,guise_2017_item8,methods,Methods,7,"Describe all information sources (e.g., databases with dates of coverage, contact with study authors to identify additional studies) in the search and date last searched",Methodology,english,km
guise_2017,guise_2017,guise_2017_item9,methods,Methods,8,"Present full electronic search strategy for at least one database, including any limits, used, such that it could be repeated.",Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item1,Title,Title,NA,"The title must indicate that it is either a systematic review or systematic map protocol, and must indicate if it is an update/amendment: e.g. 'A systematic map update protocol...'.",Title,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item10,Searches,Search string,NA,Provide Boolean-style full search string and state the platform for which the string is formatted (e.g. Web of Science format),Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item11,Searches,Languages ‚Äì bibliographic databases,NA,List languages to be used in bibliographic database searches.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item12,Searches,Languages ‚Äì grey literature,NA,List languages to be used in organizational websites searches and web-based search engines.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item13,Searches,Bibliographic databases,NA,Provide the number of bibliographic databases searched,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item14,Searches,Web ‚Äì based search engines,NA,Provide the number of web-based search engines searched,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item15,Searches,Organisational websites,NA,Provide the number of organisational websites searched,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item16,Searches,Estimating the comprehensiveness of the search,NA,Describe the process by which the comprehensiveness of the search strategy was assessed (i.e. list of benchmark articles).,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item17,Searches,Search update,NA,Describe any plans to update the searches during the conduct of the review.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item18,Article screening and study inclusion criteria,Screening strategy,NA,Describe the methodology for screening articles/studies for relevance/eligibility.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item19,Article screening and study inclusion criteria,Consistency checking,NA,Describe clearly the process for checking consistency of decisions and how many will be checked by more than one reviewer.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item2,Type of review,Type of review,NA,"Select one of the following types of review: systematic review, systematic review update, systematic review amendment, systematic review from a systematic map, systematic map, systematic map update, systematic map amendment",Title,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item20,Article screening and study inclusion criteria,Inclusion criteria,NA,Describe the inclusion criteria used to assess relevance of identified articles/studies. These must be broken down into question key elements and other restrictions.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item21,Article screening and study inclusion criteria,Reasons for exclusion,NA,State that you will provide a list of articles excluded at full text with reasons for exclusion.,Results,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item22,Critical appraisal,Critical appraisal strategy,NA,Describe the method you propose for critical appraisal of study validity (including assessment of individual studies and the evidence base as a whole).,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item23,Critical appraisal,Critical appraisal used in synthesis,NA,Describe how the information from critical appraisal will be used in synthesis.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item24,Critical appraisal,Consistency checking,NA,Describe how repeatability of critical appraisal of study validity will be tested.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item25,Data extraction,Meta-data extraction and coding strategy,NA,"Describe the method for meta-data extraction and coding for studies (potentially providing forms/data sheets (ideally piloted), list of variables to be extracted).",Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item26,Data synthesis and presentation,Type of synthesis,NA,State the type of synthesis conducted as part of the systematic map or systematic review.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item27,Data synthesis and presentation,Narrative synthesis strategy,NA,"Describe methods to be used for narratively synthesising the evidence base in the form of descriptive statistics, tables and figures.",Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item28,Data synthesis and presentation,Knowledge gap and cluster identification strategy,NA,Describe the methods to be used to identify and/or prioritise key knowledge gaps and knowledge clusters.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item29,Data synthesis and presentation,Demonstrating procedural independence,NA,Describe the role of systematic reviewers in decisions regarding inclusion or appraisal of their own work.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item3,Authors contacts,Authors contacts,NA,"The full names, institutional addresses, and email addresses for all authors must be provided.",Other Information,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item4,Abstract,Structured summary,NA,"Abstract must not exceed 350 words and must include two sections 1) Background, the context and purpose of the review, including the review question; 2) Methods, how the review will be conducted and the outputs that are expected (specifically mention search strategy, inclusion criteria, critical appraisal, data extraction and synthesis).",Abstract,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item5,Background,Background,NA,Describe the rationale for the review in the context of what is already known. Protocol must indicate why this study was necessary and what it aims to contribute to the field.,Introduction,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item6,Stakeholder engagement,Stakeholder engagement,NA,The planned/actual role of stakeholders throughout the review process (e.g. in the formulation of the question) must be described and explained,Introduction,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item7,Objective of the review,Objective,NA,Describe the primary question and secondary questions (when applicable).,Introduction,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item8,Objective of the review,Definitions of the question components,NA,"Break down and summarise question key elements e.g. population, intervention(s)/exposure(s), comparator(s), and outcome(s).",Introduction,english,km
haddaway_2018,haddaway_2018_systematic.map.protocol,haddaway_2018_systematic.map.protocol_item9,Searches,Search strategy,NA,"Detail the planned search strategy to be used, including: database names accessed, institutional subscriptions, search options, grey literature, and other sources.",Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item1,Title,Title,NA,"The title must indicate that it is a systematic map, and should indicate if it is an update/amendment: e.g. ""ÖA systematic map update.""",Title,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item10,Methods,Deviations from protocol,NA,Describe any ways in which the final methods of the review deviate from those set out in the protocol along with a justification.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item11,Searches,Search strategy,NA,"Detail the search strategy used, including: database names accessed, dates of searching, institutional subscriptions (or date ranges subscribed for each database), search options (e.g. ëtopic wordsí or ëfull textí search facility), efforts to source grey literature, other sources of evidence (e.g. hand searching, calls for evidence/submission of evidence by stakeholders). ",Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item12,Searches,Search string,NA,Provide Boolean-style full search string and state the platform for which the string is formatted (e.g. Web of Science format),Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item13,Searches,Languages - bibliographic databases,NA,List languages used in bibliographic database searches,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item14,Searches,Languages ñ grey literature,NA,List languages used in organisational website searches and web-based search engines,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item15,Searches,Bibliographic databases,NA,Provide the number of bibliographic databases searched,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item16,Searches,Web-based search engines,NA,Provide the number of web-based search engines searched,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item17,Searches,Organisational websites,NA,Provide the number of organisational websites searched,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item18,Searches,Estimating comprehensiveness of the search,NA,Describe the process by which the comprehensiveness of the search strategy was assessed (i.e. list of benchmark articles),Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item19,Searches,Search update,NA,Describe any update to searches undertaken during the conduct of the review,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item2,Type of review,Type of review,NA,"Select one of the following types of review: systematic map, systematic map update, systematic map amendment",Title,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item20,Article screening and study inclusion criteria,Screening strategy,NA,"Describe the methodology for screening articles/studies for relevance. Methods for consistency of screening decisions (at title, abstract, and full texts levels) checking must be described.",Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item21,Article screening and study inclusion criteria,Inclusion criteria,NA,"Describe the inclusion criteria used to assess relevance of identified articles/studies. These must be broken down into the question key elements (e.g. relevant subject(s), intervention(s)/exposure(s), comparator(s), outcome(s), study design(s)) and any other restrictions (e.g. date ranges or languages).",Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item22,Critical appraisal,Critical appraisal strategy,NA,Describe here the method used for critical appraisal of study validity (including assessment of individual studies and the evidence base as a whole). Describe how repeatability of critical appraisal of study validity was tested.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item23,Critical appraisal,Critical appraisal used in synthesis,NA,Describe how the information from critical appraisal was used in synthesis. ,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item24,Meta-data extraction and coding strategy,Meta-data extraction and coding strategy,NA,"Describe the method for meta-data extraction and coding for studies, providing lists of variables that will be extracted as meta-data and those that will be coded. Describe how repeatability of meta-data/data extraction and coding was tested.",Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item25,Meta-data extraction and coding strategy,Approaches to missing data,NA,Describe any process for obtaining and confirming missing or unclear information or data from authors.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item26,Data synthesis and presentation,Narrative synthesis strategy,NA,"Describe methods used for narratively synthesising the evidence base in the form of descriptive statistics, tables (including SM database) and figures.",Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item27,Data synthesis and presentation,Knowledge gap and cluster identification strategy,NA,Describe the methods used to identify and/or prioritise key knowledge gaps (unrepresented or underrepresented subtopics that warrant further primary research) and knowledge clusters (well-represented subtopics that are amenable to full synthesis via systematic review).,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item28,Data synthesis and presentation,Demonstrating procedural independence,NA,Describe the role of systematic reviewers (who have also authored articles to be considered within the review) in decisions regarding inclusion or critical appraisal of their own work.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item29,Results (review findings),Description of review process,NA,"Describe the review process including the volume of evidence identified from all sources and retained through each stage of the review. Must also display the number of articles/studies included at all stages of the review in a flow diagram, including the number of articles/studies excluded at each stage. ",Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item3,Authors' contacts,Authors' contacts,NA,"The full names, institutional addresses and email addresses for all authors must be provided.",Other Information,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item30,Results (review findings),Number of search results,NA,Provide the number of search results from bibliographic databases (including updates if conducted) prior to duplicate removal. ,Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item31,Results (review findings),Number of search results after duplicate removal,NA,Provide the total number of search results from bibliographic database searches following duplicate removal.,Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item32,Results (review findings),Full text screening excludes,NA,Additional file containing list of and reasons for full text exclusions.,Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item33,Results (review findings),Title screening results,NA,Provide the number of articles retained following title screening.,Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item34,Results (review findings),Abstract screening results,NA,Provide the number of articles retained following abstract screening.,Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item35,Results (review findings),Title and abstract screening results,NA,Provide the number of articles retained following title and abstract screening.,Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item36,Results (review findings),Retrieval results,NA,Provide the number of articles retrieved at full text.,Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item37,Results (review findings),Unobtainable articles,NA,Additional file containing list of unobtainable articles.,Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item38,Results (review findings),Full text screening results,NA,Provide the number of articles retained following full text screening.,Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item39,Results (review findings),Consistency checking: screening,NA,"Results of consistency checking at all stages (screening, meta-data extraction and coding, critical appraisal) must be provided. Provide the number of titles, abstracts and full texts screened and checked for consistency by two or more reviewers as a fraction of the total (e.g. Title: 2000/20000; Abstract: 500/5000: Full text: 10/100).",Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item4,Abstract,Structured summary,NA,"The abstract of the manuscript must not exceed 500 words and must be structured into separate sections: Background, the context and purpose of the review, including the review question; Methods, how the review was performed (specifically mention search strategy, inclusion criteria, critical appraisal (optional), meta-data extraction and coding, and narrative synthesis); Results, the main findings, including results of search and assessment of evidence base; Conclusions, brief summary and potential implications for policy/management and research.",Abstract,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item40,Results (review findings),Narrative synthesis,NA,"Describe the body of evidence identified using figures and tables, avoiding vote-counting (tallying of studies based on results; direction or significance). Each must be presented with descriptive information (meta-data). Describe the validity of individual studies and the evidence base as a whole (if critical appraisal conducted).",Results,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item41,Results (review findings),Systematic map database,NA,Additional file containing meta-data and coding for included studies.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item42,Results (review findings),Limitations of the review,NA,Discuss possible limitations in the methods used.,Discussion,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item43,Results (review findings),Limitations of the evidence base,NA,Discuss possible limitations in the evidence base.,Discussion,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item44,Conclusions,Knowledge gaps and clusters,NA,Describe knowledge gaps (unrepresented or underrepresented subtopics that warrant further primary research) and knowledge clusters (well-represented subtopics that are amenable to full synthesis via systematic review),Discussion,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item45,Conclusions,Implications for policy/management,NA,Summarise the state of the evidence base and discuss the way in which the identified evidence may inform policy/practice decision making in relation to the review/map question.,Discussion,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item46,Conclusions,Implications for research,NA,Discuss the way in which the identified evidence may inform research including options for increasing the reliability of study design that could improve future research.†,Discussion,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item47,Declarations,Competing interests,NA,Describe of any financial or non-financial competing interests that the review authors may have. ,Other Information,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item5,Background,Background,NA,Describe the rationale for the review in the context of what is already known. Reviews must indicate why this study was necessary and what it aims to contribute to the field. ,Introduction,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item6,Stakeholder engagement,Stakeholder engagement,NA,"The actual role of stakeholders throughout the review process (e.g. in the†formulation of the question) must be described and explained (using a broad definition of ëstakeholderí, including e.g. researchers, funders and other decision-makers; see [3])",Introduction,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item7,Objective of the review,Objective,NA,Describe the primary question and secondary questions (when applicable). ,Introduction,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item8,Objective of the review,Definition of the question components,NA,"Provide reference to the question key elements, e.g. population(s), intervention(s)/exposure(s), comparator(s), and outcome(s).",Introduction,english,km
haddaway_2018,haddaway_2018_systematic.map,haddaway_2018_systematic.map_item9,Methods,Protocol,NA,"Provide citation, DOI or open-access link to published protocol.",Other Information,english,km
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item1,Title,Title,NA,"The title must indicate that it is either a systematic review or systematic map protocol, and must indicate if it is an update/amendment: e.g. 'A systematic map update protocol...'.",Title,english,km
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item10,Searches,Search string,NA,Provide Boolean-style full search string and state the platform for which the string is formatted (e.g. Web of Science format),Methodology,english,km
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item11,Searches,Languages ‚Äì bibliographic databases,NA,List languages to be used in bibliographic database searches.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item12,Searches,Languages ‚Äì grey literature,NA,List languages to be used in organizational websites searches and web-based search engines.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item13,Searches,Bibliographic databases,NA,Provide the number of bibliographic databases to be searched.,Methodology,english,km
haddaway_2018,haddaway_2018_systematic.review.protocol,haddaway_2018_systematic.review.protocol_item14,Searches,Web ‚Äì based search engines,NA,Provide the number of web ‚Äì based search engines to be searched.,Methodology,english,km
